ID,Üniversite,Yerleşke Adı,İl,Lat,Lng
1039-sosyal-bi-li-mler-meslek-yuksekokulu,"FIRAT ÜNİVERSİTESİ","SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","ELAZIĞ",,
1039-tekni-k-bi-li-mler-meslek-yuksekokulu,"FIRAT ÜNİVERSİTESİ","TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","ELAZIĞ",,
1041-tekni-k-bi-li-mler-meslek-yuksekokulu,"GAZİ ÜNİVERSİTESİ","TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","ANKARA",,
1042-merkez-kampus,"GAZİANTEP ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1042-araban-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","ARABAN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-i-slahi-ye-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","İSLAHİYE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-naci-topcuoglu-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","NACİ TOPÇUOĞLU MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-ni-zi-p-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","NİZİP MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-nurdagi-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","NURDAĞI MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-oguzeli-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","OĞUZELİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-saglik-hi-zmetleri-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-sosyal-bi-li-mler-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-tekni-k-bi-li-mler-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1042-turi-zm-ve-otelci-li-k-meslek-yuksekokulu,"GAZİANTEP ÜNİVERSİTESİ","TURİZM VE OTELCİLİK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-merkez-kampus,"GAZİOSMANPAŞA ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1043-zi-le-di-ncerler-turi-zm-i-sletmeci-li-gi-ve-otelci-li-k-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","ZİLE DİNÇERLER TURİZM İŞLETMECİLİĞİ VE OTELCİLİK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-almus-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","ALMUS MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-artova-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","ARTOVA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-erbaa-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","ERBAA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-erbaa-saglik-hi-zmetleri-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","ERBAA SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-ni-ksar-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","NİKSAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-organi-ze-sanayi-bolgesi-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-pazar-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","PAZAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-resadi-ye-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","REŞADİYE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-tokat-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","TOKAT MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-tokat-saglik-hi-zmetleri-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","TOKAT SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-turhal-saglik-hi-zmetleri-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","TURHAL SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1043-zi-le-meslek-yuksekokulu,"GAZİOSMANPAŞA ÜNİVERSİTESİ","ZİLE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1044-merkez-kampus,"GEBZE TEKNİK ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1044-si-ber-guvenli-k-meslek-yuksekokulu,"GEBZE TEKNİK ÜNİVERSİTESİ","SİBER GÜVENLİK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-bulancak-kadi-r-karabas-uygulamali-bi-li-mler-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","BULANCAK KADİR KARABAŞ UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-merkez-kampus,"GİRESUN ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1045-gorele-uygulamali-bi-li-mler-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","GÖRELE UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-saglik-bi-li-mleri-fakultesi-piraziz,"GİRESUN ÜNİVERSİTESİ","SAĞLIK BİLİMLERİ FAKÜLTESİ (Piraziz)","DEVLET ÜNIVERSITESI",,
1045-si-vi-l-havacilik-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","SİVİL HAVACILIK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-sebi-nkarahi-sar-uygulamali-bi-li-mler-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","ŞEBİNKARAHİSAR UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-alucra-turan-bulutcu-meslek-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","ALUCRA TURAN BULUTÇU MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-bulancak-meslek-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","BULANCAK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-dereli-meslek-yuksekokulu-kesap,"GİRESUN ÜNİVERSİTESİ","DERELİ MESLEK YÜKSEKOKULU (Keşap)","DEVLET ÜNIVERSITESI",,
1045-espi-ye-meslek-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","ESPİYE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-eynesi-l-kami-l-nalbant-meslek-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","EYNESİL KAMİL NALBANT MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-kesap-meslek-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","KEŞAP MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-sebi-nkarahi-sar-meslek-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","ŞEBİNKARAHİSAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-sebi-nkarahi-sar-saglik-hi-zmetleri-meslek-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","ŞEBİNKARAHİSAR SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1045-ti-rebolu-mehmet-bayrak-meslek-yuksekokulu,"GİRESUN ÜNİVERSİTESİ","TİREBOLU MEHMET BAYRAK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-merkez-kampus,"GÜMÜŞHANE ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1047-uygulamali-bi-li-mler-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-gumushane-meslek-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","GÜMÜŞHANE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-gumushane-saglik-hi-zmetleri-meslek-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","GÜMÜŞHANE SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-i-rfan-can-kose-meslek-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","İRFAN CAN KÖSE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-kelki-t-sema-dogan-saglik-hi-zmetleri-meslek-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","KELKİT SEMA DOĞAN SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-kurtun-meslek-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","KÜRTÜN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-si-ran-dursun-keles-saglik-hi-zmetleri-meslek-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","ŞİRAN DURSUN KELEŞ SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-si-ran-mustafa-beyaz-meslek-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","ŞİRAN MUSTAFA BEYAZ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1047-torul-meslek-yuksekokulu,"GÜMÜŞHANE ÜNİVERSİTESİ","TORUL MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1048-baskent-organi-ze-sanayi-bolgesi-tekni-k-bi-li-mler-meslek-yuksekokulu,"HACETTEPE ÜNİVERSİTESİ","BAŞKENT ORGANİZE SANAYİ BÖLGESİ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","ANKARA",,
1049-merkez-kampus,"HAKKARİ ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1049-colemeri-k-meslek-yuksekokulu,"HAKKARİ ÜNİVERSİTESİ","ÇÖLEMERİK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1049-saglik-hi-zmetleri-meslek-yuksekokulu,"HAKKARİ ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1049-yuksekova-meslek-yuksekokulu,"HAKKARİ ÜNİVERSİTESİ","YÜKSEKOVA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1050-akcakale-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","AKÇAKALE MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1050-bi-reci-k-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","BİRECİK MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1050-bozova-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","BOZOVA MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1050-ceylanpinar-tarim-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","CEYLANPINAR TARIM MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1050-halfeti-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","HALFETİ MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1050-organi-ze-sanayi-bolgesi-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1050-suruc-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","SURUÇ MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1050-sanliurfa-saglik-hi-zmetleri-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","ŞANLIURFA SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1050-sanliurfa-tekni-k-bi-li-mler-meslek-yuksekokulu,"HARRAN ÜNİVERSİTESİ","ŞANLIURFA TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","ŞANLIURFA",,
1051-osmancik-omer-deri-ndere-meslek-yuksekokulu,"HİTİT ÜNİVERSİTESİ","OSMANCIK ÖMER DERİNDERE MESLEK YÜKSEKOKULU","ÇORUM",,
1051-saglik-hi-zmetleri-meslek-yuksekokulu,"HİTİT ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","ÇORUM",,
1052-merkez-kampus,"IĞDIR ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1052-igdir-meslek-yuksekokulu,"IĞDIR ÜNİVERSİTESİ","IĞDIR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1052-igdir-tekni-k-bi-li-mler-meslek-yuksekokulu,"IĞDIR ÜNİVERSİTESİ","IĞDIR TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1052-saglik-hi-zmetleri-meslek-yuksekokulu,"IĞDIR ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1052-tuzluca-meslek-yuksekokulu,"IĞDIR ÜNİVERSİTESİ","TUZLUCA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1053-malatya-meslek-yuksekokulu,"İNÖNÜ ÜNİVERSİTESİ","MALATYA MESLEK YÜKSEKOKULU","MALATYA",,
1053-malatya-osb-meslek-yuksekokulu,"İNÖNÜ ÜNİVERSİTESİ","MALATYA OSB MESLEK YÜKSEKOKULU","MALATYA",,
1054-merkez-kampus,"İSTANBUL MEDENİYET ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1055-merkez-kampus,"İSTANBUL TEKNİK ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1055-i-tu-kktc-egi-ti-m-arastirma-yerleskesi-gazi-magusa,"İSTANBUL TEKNİK ÜNİVERSİTESİ","İTÜ-KKTC EĞİTİM ARAŞTIRMA YERLEŞKESİ (GAZİMAĞUSA)","DEVLET ÜNIVERSITESI",,
1055-si-ber-guvenli-k-meslek-yuksekokulu,"İSTANBUL TEKNİK ÜNİVERSİTESİ","SİBER GÜVENLİK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1056-merkez-kampus,"İSTANBUL ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1056-acik-ve-uzaktan-egi-ti-m-fakultesi,"İSTANBUL ÜNİVERSİTESİ","AÇIK VE UZAKTAN EĞİTİM FAKÜLTESİ","DEVLET ÜNIVERSITESI",,
1057-merkez-kampus,"İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1057-saglik-hi-zmetleri-meslek-yuksekokulu,"İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1059-kagizman-uygulamali-bi-li-mler-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","KAĞIZMAN UYGULAMALI BİLİMLER YÜKSEKOKULU","KARS",,
1059-ataturk-saglik-hi-zmetleri-meslek-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","ATATÜRK SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","KARS",,
1059-guzel-sanatlar-meslek-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","GÜZEL SANATLAR MESLEK YÜKSEKOKULU","KARS",,
1059-kagizman-meslek-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","KAĞIZMAN MESLEK YÜKSEKOKULU","KARS",,
1059-kars-meslek-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","KARS MESLEK YÜKSEKOKULU","KARS",,
1059-kazim-karabeki-r-tekni-k-bi-li-mler-meslek-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","KAZIM KARABEKİR TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","KARS",,
1059-sarikamis-meslek-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","SARIKAMIŞ MESLEK YÜKSEKOKULU","KARS",,
1059-sosyal-bi-li-mler-meslek-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","KARS",,
1059-susuz-meslek-yuksekokulu,"KAFKAS ÜNİVERSİTESİ","SUSUZ MESLEK YÜKSEKOKULU","KARS",,
1060-afsi-n-saglik-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","AFŞİN SAĞLIK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1060-merkez-kampus,"SÜTÇÜ İMAM ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1060-goksun-uygulamali-bi-li-mler-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","GÖKSUN UYGULAMALI BİLİMLER YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1060-afsi-n-meslek-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","AFŞİN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1060-andirin-meslek-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","ANDIRIN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1060-goksun-meslek-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","GÖKSUN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1060-kahramanmaras-saglik-hi-zmetleri-meslek-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","KAHRAMANMARAŞ SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1060-pazarcik-meslek-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","PAZARCIK MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1060-sosyal-bi-li-mler-meslek-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1060-tekni-k-bi-li-mler-meslek-yuksekokulu,"SÜTÇÜ İMAM ÜNİVERSİTESİ","TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1061-merkez-kampus,"KARABÜK ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1061-bi-li-si-m-teknoloji-leri-meslek-yuksekokulu,"KARABÜK ÜNİVERSİTESİ","BİLİŞİM TEKNOLOJİLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1061-eflani-meslek-yuksekokulu,"KARABÜK ÜNİVERSİTESİ","EFLANİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1061-safranbolu-sefi-k-yilmaz-di-zdar-meslek-yuksekokulu,"KARABÜK ÜNİVERSİTESİ","SAFRANBOLU ŞEFİK YILMAZ DİZDAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1061-saglik-hi-zmetleri-meslek-yuksekokulu,"KARABÜK ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1061-turki-ye-odalar-ve-borsalar-bi-rli-gi-tekni-k-bi-li-mler-meslek-yuksekokulu,"KARABÜK ÜNİVERSİTESİ","TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1061-yeni-ce-meslek-yuksekokulu,"KARABÜK ÜNİVERSİTESİ","YENİCE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1062-arakli-ali-cevat-ozyurt-meslek-yuksekokulu,"KARADENİZ TEKNİK ÜNİVERSİTESİ","ARAKLI ALİ CEVAT ÖZYURT MESLEK YÜKSEKOKULU","TRABZON",,
1062-arsi-n-meslek-yuksekokulu,"KARADENİZ TEKNİK ÜNİVERSİTESİ","ARSİN MESLEK YÜKSEKOKULU","TRABZON",,
1062-macka-meslek-yuksekokulu,"KARADENİZ TEKNİK ÜNİVERSİTESİ","MAÇKA MESLEK YÜKSEKOKULU","TRABZON",,
1062-saglik-hi-zmetleri-meslek-yuksekokulu,"KARADENİZ TEKNİK ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","TRABZON",,
1062-surmene-abdullah-kanca-meslek-yuksekokulu,"KARADENİZ TEKNİK ÜNİVERSİTESİ","SÜRMENE ABDULLAH KANCA MESLEK YÜKSEKOKULU","TRABZON",,
1063-ermenek-meslek-yuksekokulu,"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ","ERMENEK MESLEK YÜKSEKOKULU","KARAMAN",,
1063-ermenek-uysal-ve-hasan-kalan-saglik-hi-zmetleri-meslek-yuksekokulu,"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ","ERMENEK UYSAL VE HASAN KALAN SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","KARAMAN",,
1063-kazim-karabeki-r-meslek-yuksekokulu,"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ","KAZIM KARABEKİR MESLEK YÜKSEKOKULU","KARAMAN",,
1064-merkez-kampus,"KASTAMONU ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1064-si-vi-l-havacilik-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","SİVİL HAVACILIK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-abana-sabahat-mesut-yilmaz-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","ABANA SABAHAT MESUT YILMAZ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-arac-rafet-vergi-li-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","ARAÇ RAFET VERGİLİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-ci-de-rifat-ilgaz-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","CİDE RIFAT ILGAZ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-catalzeyti-n-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","ÇATALZEYTİN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-daday-nafi-ve-umi-t-ceri-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","DADAY NAFİ VE ÜMİT ÇERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-devrekani-turki-ye-odalar-ve-borsalar-bi-rli-gi-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","DEVREKANİ TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-i-hsangazi-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","İHSANGAZİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-i-nebolu-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","İNEBOLU MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-kure-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","KÜRE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-taskopru-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","TAŞKÖPRÜ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1064-tosya-meslek-yuksekokulu,"KASTAMONU ÜNİVERSİTESİ","TOSYA MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1066-merkez-kampus,"KIRIKKALE ÜNİVERSİTESİ","Merkez Kampüs","DEVLET ÜNIVERSITESI",,
1066-deli-ce-meslek-yuksekokulu,"KIRIKKALE ÜNİVERSİTESİ","DELİCE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1066-fatma-senses-sosyal-bi-li-mler-meslek-yuksekokulu,"KIRIKKALE ÜNİVERSİTESİ","FATMA ŞENSES SOSYAL BİLİMLER MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1066-hacilar-huseyi-n-aytemi-z-meslek-yuksekokulu,"KIRIKKALE ÜNİVERSİTESİ","HACILAR HÜSEYİN AYTEMİZ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1066-keski-n-meslek-yuksekokulu,"KIRIKKALE ÜNİVERSİTESİ","KESKİN MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1066-kirikkale-meslek-yuksekokulu,"KIRIKKALE ÜNİVERSİTESİ","KIRIKKALE MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1066-saglik-hi-zmetleri-meslek-yuksekokulu,"KIRIKKALE ÜNİVERSİTESİ","SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1066-si-lah-i-hti-sas-organi-ze-sanayi-bolgesi-meslek-yuksekokulu,"KIRIKKALE ÜNİVERSİTESİ","SİLAH İHTİSAS ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1067-uygulamali-bi-li-mler-fakultesi-luleburgaz,"KIRKLARELİ ÜNİVERSİTESİ","UYGULAMALI BİLİMLER FAKÜLTESİ (Lüleburgaz)","DEVLET ÜNIVERSITESI",,
1067-babaeski-meslek-yuksekokulu,"KIRKLARELİ ÜNİVERSİTESİ","BABAESKİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1067-luleburgaz-meslek-yuksekokulu,"KIRKLARELİ ÜNİVERSİTESİ","LÜLEBURGAZ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1067-organi-ze-sanayi-bolgesi-meslek-yuksekokulu,"KIRKLARELİ ÜNİVERSİTESİ","ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
1067-pinarhi-sar-meslek-yuksekokulu,"KIRKLARELİ ÜNİVERSİTESİ","PINARHİSAR MESLEK YÜKSEKOKULU","DEVLET ÜNIVERSITESI",,
